id,section,domain,skill,difficulty,accuracy
6dc1b4b6-0f74-4d4c-8cdf-9efed419dee8,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,2,1
2eb8f8d5-8259-4ce4-bcfc-9a8d327e8d2f,Reading & Writing,Expression of Ideas,Transitions,2,0
3be06684-723e-4cf0-9280-4ddf6ec50a33,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,2,1
c623e14c-27f2-4ba9-82a5-c695addda02a,Reading & Writing,Expression of Ideas,Transitions,3,0
fbbb13a3-8406-400c-8f3d-fc4f7f97e358,Reading & Writing,Expression of Ideas,Rhetorical Synthesis,3,0
05821d83-810a-4991-8594-eaddab4557bd,Reading & Writing,Expression of Ideas,Transitions,3,1
c3b54a89-cad1-4170-9249-4a22175c2a92,Reading & Writing,Information and Ideas,Command of Evidence,1,1
4b48e8aa-9767-43d6-933a-fe06eeb64959,Reading & Writing,Information and Ideas,Inferences,1,0
34dc3d14-ed11-4eed-94bb-312509705709,Reading & Writing,Information and Ideas,Central Ideas and Details,2,0
3c65ec32-9124-43cd-a961-029425df0d3b,Reading & Writing,Information and Ideas,Command of Evidence,1,1
df3d7591-1628-4382-914e-ce922d6f80f9,Reading & Writing,Information and Ideas,Central Ideas and Details,3,1
5ed56f37-8616-4814-ab53-cb6f4df84569,Reading & Writing,Information and Ideas,Command of Evidence,3,1
a6459ceb-2839-4201-aeab-9fb0b2583e62,Reading & Writing,Information and Ideas,Inferences,3,1
85e94d02-a7fd-41b6-bf14-1d7826272883,Reading & Writing,Standard English Conventions,Boundaries,1,0
23d784fc-6cac-490e-96e9-75449375ad44,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense",1,1
81a1ba67-939b-476e-b176-ffb551f226f7,Reading & Writing,Standard English Conventions,Boundaries,1,0
8f8cf586-5d13-49f1-bea0-66c56b604d68,Reading & Writing,Standard English Conventions,Boundaries,3,1
85da3ecb-5bff-4c96-b3b8-56589c011ba4,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense",3,1
d4978655-6d1e-441a-8fa7-002457a86b98,Reading & Writing,Standard English Conventions,Boundaries,3,0
d1eca422-44b5-4abd-8441-067f1c07ba8e,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense",3,1
aacf24a4-5937-43ca-89dc-c17c80ec7173,Reading & Writing,Craft and Structure,Cross-text Connections,2,1
09c41447-e1f1-4921-a393-2e9aa2a61bc1,Reading & Writing,Craft and Structure,Text Structure and Purpose,2,0
6caa2057-0d35-4d9c-8930-ae723cc70cf1,Reading & Writing,Craft and Structure,Words in Context,1,0
272dbb33-7d9b-4f45-ac01-47bb7f9185a6,Reading & Writing,Craft and Structure,Cross-Text Connections,1,0
dfd0d4bc-5a39-4171-bf70-e1e20cdf53c7,Reading & Writing,Craft and Structure,Text Structure and Purpose,2,0
